Program,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Domain,Domain Category,CORN - ACRES PLANTED         2020  -  <b>VALUE</b>,CORN - ACRES PLANTED         2020  -  <b>CV (%)</b>,CORN - ACRES PLANTED         2021  -  <b>VALUE</b>,CORN - ACRES PLANTED         2021  -  <b>CV (%)</b>,"CORN, GRAIN - ACRES HARVESTED         2020  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED         2020  -  <b>CV (%)</b>","CORN, GRAIN - ACRES HARVESTED         2021  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED         2021  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU         2020  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU         2020  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU         2021  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU         2021  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE         2020  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE         2020  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE         2021  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE         2021  -  <b>CV (%)</b>"
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,BEE,25,,,0,,CORN,TOTAL,NOT SPECIFIED,"20,700",0.1,,,"14,900",8.2,,,"1,031,000",14.6,,,69.2,11.9,,
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,BEXAR,29,,,0,,CORN,TOTAL,NOT SPECIFIED,"8,200",0.1,"6,900",0,"5,000",12.6,"6,060",15.8,"539,000",15.3,"448,000",18.6,107.8,8.8,73.9,9.5
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,BURLESON,51,,,0,,CORN,TOTAL,NOT SPECIFIED,"10,500",0.1,"10,600",0,"9,100",7,"9,900",10.5,"1,099,000",10.7,"1,288,000",16.1,120.8,8,130.1,12.1
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,CALDWELL,55,,,0,,CORN,TOTAL,NOT SPECIFIED,,,"6,900",0,,,"6,290",14.8,,,"572,000",21.5,,,90.9,15.3
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,COLORADO,89,,,0,,CORN,TOTAL,NOT SPECIFIED,"11,200",0.1,"10,800",0,"9,700",6.6,"10,100",9.1,"1,266,000",10,"852,000",17.4,130.5,7.4,84.4,14.6
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,DE WITT,123,,,0,,CORN,TOTAL,NOT SPECIFIED,"4,500",0.1,"4,200",0,"3,900",6.9,"3,860",14.8,"366,000",7.4,"410,000",16.2,93.8,2.6,106.2,6.1
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,FAYETTE,149,,,0,,CORN,TOTAL,NOT SPECIFIED,"7,900",0.1,"7,800",0,"6,800",7.2,"6,980",14.5,"618,000",12.9,"711,000",18.1,90.9,10.7,101.9,10.7
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,GOLIAD,175,,,0,,CORN,TOTAL,NOT SPECIFIED,,,"3,100",0,,,"2,800",14.1,,,"186,200",20.7,,,66.5,14.8
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,GONZALES,177,,,0,,CORN,TOTAL,NOT SPECIFIED,,,"4,700",0,,,"4,330",14.7,,,"414,000",24,,,95.6,19.2
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,GUADALUPE,187,,,0,,CORN,TOTAL,NOT SPECIFIED,"24,600",0.1,"23,100",0.1,"21,000",7,"20,700",14.8,"1,854,000",9.8,"1,946,000",16.5,88.3,6.9,94,7
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,HAYS,209,,,0,,CORN,TOTAL,NOT SPECIFIED,"3,900",0.1,"3,500",0,"3,300",7.2,"3,260",14,"361,000",13.9,"300,000",14.8,109.4,11.9,92,5.4
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,KARNES,255,,,0,,CORN,TOTAL,NOT SPECIFIED,"11,400",0.1,,,"9,500",5.9,,,"675,000",19,,,71.1,17.8,,
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,LAVACA,285,,,0,,CORN,TOTAL,NOT SPECIFIED,"2,200",0.1,"2,200",0,"1,900",7,"1,980",14.6,"190,800",13.6,"155,800",21.6,100.4,11.6,78.7,15.5
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,LEE,287,,,0,,CORN,TOTAL,NOT SPECIFIED,,,400,0.1,,,350,12.8,,,"30,100",38.4,,,86,36.1
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,MEDINA,325,,,0,,CORN,TOTAL,NOT SPECIFIED,"31,700",0.1,"27,400",0,"26,000",6.4,"25,300",5.8,"2,878,000",8.6,"2,024,000",12.4,110.7,5.5,80,10.7
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH CENTRAL,81,TRAVIS,453,,,0,,CORN,TOTAL,NOT SPECIFIED,,,"15,800",0,,,"14,200",14.7,,,"1,108,000",15.2,,,78,3.8
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH TEXAS,96,ATASCOSA,13,,,0,,CORN,TOTAL,NOT SPECIFIED,"2,300",0.5,,,"1,620",7.3,,,"110,500",23.8,,,68.2,22.3,,
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH TEXAS,96,FRIO,163,,,0,,CORN,TOTAL,NOT SPECIFIED,"7,000",0.1,"7,000",0,"6,130",6.9,"6,410",15.6,"881,000",7.2,"947,000",16.8,143.7,1.6,147.7,5.9
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTH TEXAS,96,ZAVALA,507,,,0,,CORN,TOTAL,NOT SPECIFIED,"2,400",0.3,,,"1,940",6.2,,,"296,000",7.5,,,152.6,4,,
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTHERN HIGH PLAINS,12,GLASSCOCK,173,,,0,,CORN,TOTAL,NOT SPECIFIED,,,700,0,,,650,7.9,,,"111,400",14,,,171.4,12
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTHERN HIGH PLAINS,12,HOCKLEY,219,,,0,,CORN,TOTAL,NOT SPECIFIED,"8,400",0.1,,,"7,230",6.6,,,"600,000",9,,,83,5.7,,
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTHERN HIGH PLAINS,12,LAMB,279,,,0,,CORN,TOTAL,NOT SPECIFIED,"37,400",0.1,,,"23,100",13.9,,,"3,178,000",15.1,,,137.6,5.3,,
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTHERN HIGH PLAINS,12,LYNN,305,,,0,,CORN,TOTAL,NOT SPECIFIED,"2,900",0.1,,,"2,100",16.8,,,"142,000",24.9,,,67.6,18,,
SURVEY,YEAR,,COUNTY,TEXAS,48,SOUTHERN LOW PLAINS,22,COLEMAN,83,,,0,,CORN,TOTAL,NOT SPECIFIED,"5,400",0.1,"2,900",0,"4,090",10.8,"2,150",22,"114,500",13.7,"112,700",28.9,28,8.3,52.4,18.1
SURVEY,YEAR,,COUNTY,TEXAS,48,UPPER COAST,90,CALHOUN,57,,,0,,CORN,TOTAL,NOT SPECIFIED,"27,200",0.1,,,"24,500",6.6,,,"2,896,000",7.3,,,118.2,3.2,,
SURVEY,YEAR,,COUNTY,TEXAS,48,UPPER COAST,90,FORT BEND,157,,,0,,CORN,TOTAL,NOT SPECIFIED,"21,800",0.1,"17,200",0,"19,700",6.7,"15,600",14.1,"3,115,000",7.3,"2,053,000",14.9,158.1,2.8,131.6,4.5
SURVEY,YEAR,,COUNTY,TEXAS,48,UPPER COAST,90,JACKSON,239,,,0,,CORN,TOTAL,NOT SPECIFIED,"90,500",0.1,"86,000",0,"81,500",5.8,"79,100",13.3,"9,446,000",7.5,"9,191,000",14.6,115.9,4.5,116.2,5.5
SURVEY,YEAR,,COUNTY,TEXAS,48,UPPER COAST,90,MATAGORDA,321,,,0,,CORN,TOTAL,NOT SPECIFIED,"46,000",0.1,"41,300",0,"42,000",6.6,"38,900",11.4,"4,784,000",11.1,"4,046,000",14.5,113.9,8.9,104,8.9
SURVEY,YEAR,,COUNTY,TEXAS,48,UPPER COAST,90,VICTORIA,469,,,0,,CORN,TOTAL,NOT SPECIFIED,"39,600",0.1,"37,700",0,"35,900",6.4,"35,500",11,"3,274,000",16.9,"3,536,000",18.9,91.2,15.5,99.6,15.4
SURVEY,YEAR,,COUNTY,TEXAS,48,UPPER COAST,90,WHARTON,481,,,0,,CORN,TOTAL,NOT SPECIFIED,"102,000",0.2,"93,500",0,"90,500",6.1,"87,500",11.5,"12,589,000",6.8,"12,084,000",11.9,139.1,3,138.1,3.4
SURVEY,YEAR,,COUNTY,TEXAS,48,,99,OTHER COUNTIES,,,,0,,CORN,TOTAL,NOT SPECIFIED,"550,500",0.1,"541,800",0,"389,560",4,"400,160",4.9,"53,373,800",5.3,"50,515,400",6.9,137,2.8,126.2,3.7
